40 27
 #############     #####
##.....#..i..#######...#
#...k..#...............#      ####
#...s..########.......##   ####..##
#.................s...#   ##......######
###........#..........#  ##....e.......#
   #.....#######......## #...........###
    #....#      #....##  #....c....###
    #..##        #...#   ##........#
    #..#          ######  #........#
    #..#            ######.....####
  ###..####       ####....##d####
  #.......#     ##.....n.......####
   #..s..#     #....j.....+........#
   #.....#    #k...............###.#
   #.....#     #...i...########  #.#
   #..s..#      #.......#        #.#
  #.......#      #......#       #...#
  ####.####       ###..#        #...#
  ####d####         ##.#        #...#
  #.......#        ##..####     #...#
  #..s....##########......#     #...#
  #.......................#     #...#
   ####.########################...#
      #.#   #...@.................#
     #.+.#   #...................#
      ###    #####################
